crop,area_ha,rainfall,temp_mean,humidity,soil_ph,nitrogen,phosphorus,potassium,ndvi_mean,ndwi_mean,ndmi_mean,yield_prediction,disease_probability,historical_loss,risk_score
chickpea,6.817,607.58,33.3,58.7,7.2,397.91,9.2,201.36,0.6946,-0.2962,0.1559,2.656,0.1204,0.1963,58.33
rice,6.026,983.53,27.3,71.51,5.96,216.13,17.11,228.97,0.5963,-0.0096,0.2753,5.753,0.1743,0.2008,48.9
cotton,3.376,977.94,25.47,57.67,7.21,296.17,19.81,183.07,0.7106,-0.0375,0.3468,2.469,0.0896,0.049,22.32
rice,8.56,1020.01,22.08,61.79,7.79,259.02,6.27,168.51,0.6597,0.1188,0.2239,5.624,0.1845,0.0734,44.43
cotton,1.254,674.97,17.98,58.6,5.86,185.73,16.88,155.83,0.7305,0.1841,0.3183,2.522,0.0545,0.1574,33.62
wheat,7.877,871.66,23.99,58.65,6.35,171.25,23.54,220.48,0.6272,-0.0897,0.2558,4.989,0.0382,0.1193,35.94
rice,1.681,867.78,23.35,53.2,7.08,201.61,14.62,253.61,0.6385,-0.0179,0.24,6.001,0.0593,0.0244,28.13
chickpea,3.813,488.7,27.85,91.71,5.89,76.53,35.36,260.75,0.7751,-0.0672,0.2391,2.937,0.189,0.2837,36.91
chickpea,4.807,323.73,22.46,49.48,7.24,228.11,43.41,137.72,0.6728,0.0279,0.4042,2.5,0.0508,0.0839,25.24
rice,2.37,645.44,28.21,62.46,6.64,323.59,10.96,149.36,0.7444,-0.2173,0.1503,5.737,0.0919,0.1058,24.52
chickpea,8.574,516.12,28.05,65.25,6.12,159.96,30.19,116.81,0.7275,-0.1176,0.2768,2.741,0.0531,0.0396,36.24
chickpea,9.663,761.8,25.03,67.47,6.11,271.39,24.78,248.69,0.7356,-0.1597,0.1434,2.914,0.1723,0.0,23.93
rice,5.991,692.9,23.52,75.51,6.91,291.12,25.8,165.55,0.8405,0.098,0.297,6.025,0.1696,0.2037,23.41
rice,1.35,898.07,28.93,56.23,6.6,217.89,10.27,153.11,0.6583,-0.1534,0.2888,4.873,0.1761,0.1592,54.71
chickpea,2.97,832.2,28.12,47.35,8.01,317.34,20.29,150.44,0.8984,-0.0573,0.3126,2.594,0.0364,0.1727,39.78
cotton,9.165,530.28,21.44,55.31,6.21,189.55,20.09,216.44,0.6967,0.1307,0.4213,2.568,0.0884,0.2321,37.16
soybean,7.762,418.22,31.65,59.64,5.88,276.48,26.14,166.91,0.597,-0.2513,0.0699,2.788,0.2323,0.1078,58.58
soybean,9.294,611.03,37.19,59.52,8.07,284.5,20.21,291.84,0.4828,-0.4912,-0.0145,2.013,0.4434,0.3772,95.3
maize,6.903,893.58,33.82,84.59,7.99,305.73,17.91,293.16,0.5546,-0.4682,0.0868,5.399,0.4391,0.1548,75.89
maize,3.038,587.52,21.94,32.45,5.88,251.68,20.9,84.82,0.5914,0.0345,0.178,5.963,0.0426,0.1542,48.22
rice,5.695,701.78,28.57,63.82,6.14,108.59,15.48,268.99,0.6284,-0.2251,0.4267,5.488,0.1993,0.287,50.17
cotton,5.294,713.17,35.92,58.82,6.3,201.88,14.05,151.5,0.5465,-0.379,0.1185,1.821,0.4709,0.2542,94.86
wheat,6.122,537.18,19.45,49.53,7.46,325.33,29.23,83.65,0.731,0.0839,0.3696,5.125,0.0697,0.1022,25.94
maize,4.234,1032.59,24.73,72.39,7.85,259.14,34.26,116.64,0.6738,-0.1359,0.3485,5.941,0.1129,0.0,41.45
chickpea,0.934,438.72,22.02,69.49,7.63,283.38,24.0,204.81,0.715,0.1076,0.4056,3.192,0.2153,0.0579,37.15
rice,8.773,835.42,31.16,69.49,7.47,170.74,28.06,238.44,0.7327,-0.1766,0.233,6.075,0.1495,0.189,43.88
maize,0.818,1039.85,25.51,91.79,8.08,118.1,6.79,142.02,0.6029,-0.0943,0.2579,6.354,0.4463,0.0591,73.61
maize,5.965,511.56,24.84,49.79,6.2,170.9,19.03,339.78,0.6994,-0.2112,0.2295,6.56,0.0401,0.1569,24.3
chickpea,4.552,609.79,28.63,56.53,6.18,214.5,30.06,68.51,0.6916,-0.2765,0.1309,2.739,0.0665,0.0598,34.74
rice,2.545,642.8,32.02,63.59,7.15,86.78,24.06,75.9,0.6804,-0.1429,0.3359,5.309,0.3229,0.2858,62.87
cotton,6.296,891.75,29.74,67.46,6.24,346.85,27.44,196.32,0.8119,-0.1723,0.14,2.683,0.1264,0.1558,26.95
rice,5.708,990.57,26.24,60.86,6.59,127.02,21.94,136.2,0.7511,-0.154,0.1587,6.031,0.0602,0.0913,30.52
wheat,7.206,150.0,32.95,65.99,6.01,231.64,24.83,170.52,0.4998,-0.4038,0.141,3.388,0.3277,0.3377,87.17
chickpea,9.97,726.08,28.23,68.0,7.58,295.15,23.57,189.62,0.7074,-0.029,0.1121,3.614,0.138,0.0821,36.34
rice,4.481,653.12,30.63,83.53,7.61,326.99,29.21,243.04,0.8199,-0.0913,0.207,5.854,0.5477,0.4152,64.56
cotton,7.672,872.06,27.83,89.08,7.1,364.98,7.35,187.93,0.6428,-0.2367,0.1829,2.813,0.4339,0.2395,46.14
rice,2.954,700.48,35.89,64.92,5.97,177.0,23.33,190.27,0.4103,-0.3851,0.1683,4.769,0.5407,0.3464,90.69
cotton,9.633,502.48,31.24,60.75,6.9,304.83,14.59,218.72,0.7034,-0.2471,0.3381,2.393,0.077,0.3234,39.78
rice,5.005,727.3,30.88,75.34,6.03,208.07,39.23,177.96,0.6465,-0.1123,0.1029,4.928,0.1876,0.1661,51.63
cotton,4.364,705.32,26.82,67.66,6.83,145.22,40.2,102.38,0.6457,-0.0486,0.2189,2.675,0.3058,0.2759,36.91
rice,8.231,280.72,28.68,73.03,6.4,272.72,32.99,146.38,0.6577,-0.0756,0.3882,5.566,0.3015,0.2393,41.28
wheat,7.602,823.49,29.01,65.56,7.79,123.98,23.52,115.26,0.453,-0.1891,0.2758,4.999,0.3307,0.3409,80.99
soybean,4.117,526.09,26.44,63.21,6.49,273.67,25.96,147.71,0.8848,-0.0698,0.1953,3.731,0.1556,0.0797,24.8
wheat,4.064,260.56,27.89,68.95,5.43,181.51,26.7,150.22,0.7607,-0.2069,0.2199,5.336,0.1229,0.1856,39.73
soybean,0.539,430.15,17.81,30.85,6.38,308.02,20.9,187.29,0.769,0.2192,0.3855,3.716,0.0434,0.1012,23.95
rice,9.69,660.03,23.55,46.87,5.29,200.17,11.04,215.31,0.6956,0.0122,0.2527,5.933,0.0458,0.0423,34.84
soybean,6.401,260.69,20.51,65.76,7.54,111.49,32.26,206.14,0.7073,0.1285,0.3784,3.315,0.1279,0.2373,40.71
rice,5.122,548.33,25.43,81.1,6.28,368.72,20.75,196.68,0.7304,-0.0207,0.3141,5.88,0.1246,0.1636,23.5
cotton,8.923,625.9,33.07,68.15,5.6,290.52,20.12,242.42,0.6356,-0.3853,0.225,2.327,0.2384,0.2452,68.98
cotton,1.993,686.07,29.64,73.7,5.53,253.1,24.47,122.4,0.687,-0.1106,0.1458,2.238,0.1746,0.2556,53.83
chickpea,5.401,529.15,29.19,68.34,6.32,112.05,26.86,159.31,0.688,-0.1293,0.1644,3.214,0.1518,0.0576,30.25
chickpea,6.809,778.22,34.05,80.95,7.05,60.0,27.85,153.09,0.4216,-0.2794,0.0416,2.517,0.5945,0.2091,88.06
maize,0.605,621.63,28.7,56.03,7.38,220.0,30.35,196.0,0.6393,-0.1292,0.0468,5.254,0.0969,0.2919,62.32
rice,8.008,883.37,26.62,70.1,6.58,222.63,29.36,95.77,0.7321,-0.1195,0.2576,5.792,0.1304,0.0,20.47
cotton,2.264,894.96,29.92,74.18,6.61,372.94,24.87,332.86,0.7629,-0.3299,0.2178,2.224,0.1704,0.09,16.74
soybean,5.695,714.54,23.49,67.32,6.86,218.52,30.02,108.94,0.7081,-0.0812,0.2921,4.142,0.0481,0.0586,17.71
wheat,6.266,573.84,27.22,78.63,7.04,188.95,39.82,98.61,0.6934,-0.0613,0.2928,5.128,0.1506,0.0871,28.68
soybean,1.058,512.51,28.23,55.09,6.31,249.72,7.12,275.01,0.7147,-0.1481,0.092,3.621,0.0313,0.0613,19.14
wheat,7.245,708.76,20.62,43.79,6.69,243.75,15.37,215.67,0.9115,0.1104,0.254,4.667,0.0175,0.1567,19.51
maize,2.734,894.91,25.04,66.78,5.26,284.73,9.17,196.3,0.7788,-0.0338,0.4294,6.447,0.098,0.2232,36.25
rice,5.288,347.43,24.12,60.48,6.5,184.39,38.94,73.89,0.8118,0.0912,0.3502,5.913,0.102,0.1828,25.59
soybean,4.916,557.69,30.38,65.3,5.85,273.08,32.97,117.02,0.6119,-0.0735,0.254,3.501,0.3137,0.39,67.8
chickpea,0.716,666.54,24.91,66.27,7.35,216.5,19.6,236.17,0.7345,-0.0573,0.2831,2.896,0.0337,0.0255,26.18
rice,3.814,419.87,24.24,79.63,7.43,317.44,11.69,106.19,0.6639,0.0605,0.4286,6.07,0.2083,0.1778,43.12
rice,5.081,838.89,27.03,74.79,8.16,195.9,27.34,100.5,0.6834,-0.2515,0.2287,5.314,0.1006,0.1663,51.19
soybean,8.596,640.68,15.0,56.75,6.18,126.28,30.45,142.02,0.8158,0.2147,0.4934,3.762,0.054,0.2301,22.27
wheat,0.877,449.77,28.4,61.37,8.2,202.08,11.26,117.04,0.7467,-0.2566,0.2248,5.066,0.1165,0.2176,51.99
soybean,7.138,468.48,30.22,81.3,6.1,341.52,27.6,237.01,0.6441,-0.2458,0.2514,3.444,0.3339,0.1857,54.46
wheat,4.221,634.31,28.19,77.27,7.32,203.05,17.27,190.02,0.6369,-0.0752,0.2259,5.51,0.1381,0.0,36.39
wheat,3.808,641.0,25.63,71.69,7.83,204.13,27.77,100.49,0.7038,-0.1637,0.2346,5.351,0.0568,0.1732,39.76
wheat,6.046,351.23,16.95,58.76,5.94,249.64,27.12,255.23,0.6643,0.1683,0.4473,5.016,0.0944,0.0987,29.06
maize,8.714,597.52,29.73,49.22,7.29,155.41,27.57,159.26,0.6943,-0.2314,0.1379,5.615,0.0734,0.1281,33.85
maize,2.642,871.14,24.57,84.95,5.83,191.37,40.34,183.75,0.7054,-0.0372,0.215,6.368,0.3409,0.0458,38.43
rice,0.739,800.65,27.42,90.96,7.23,128.65,13.45,102.81,0.6814,-0.0271,0.3842,6.016,0.3025,0.3038,55.82
maize,7.478,777.55,32.88,56.42,6.6,142.3,17.29,302.43,0.5916,-0.3846,0.1085,5.323,0.1961,0.0741,41.5
wheat,7.781,760.54,26.59,94.54,8.2,216.16,19.5,156.0,0.7675,-0.044,0.3261,4.611,0.23,0.1705,50.91
soybean,3.591,944.43,29.92,54.51,7.74,256.72,25.79,285.04,0.6139,-0.2923,0.1151,3.772,0.1553,0.2997,46.37
cotton,4.965,1008.17,27.82,79.52,7.48,320.63,27.81,140.37,0.9098,-0.1029,0.2292,3.144,0.2087,0.1559,35.77
chickpea,6.517,760.15,26.9,41.79,7.58,320.22,17.22,221.61,0.7368,-0.2031,0.295,2.96,0.0678,0.0179,17.57
cotton,3.732,501.3,28.55,66.18,6.84,210.89,18.36,189.48,0.793,-0.2783,0.2572,2.786,0.1166,0.2195,19.99
maize,9.744,497.86,21.97,66.38,7.2,288.92,27.6,113.64,0.5893,0.0215,0.4446,6.026,0.2224,0.1088,40.63
rice,7.196,298.65,23.22,71.77,7.5,275.99,28.41,191.47,0.6487,0.0329,0.4844,4.965,0.0979,0.1085,26.91
maize,3.669,723.06,26.69,69.3,7.14,264.79,21.08,191.79,0.8716,0.1814,0.3468,6.655,0.0798,0.026,27.83
rice,4.598,695.23,30.34,53.51,7.36,245.26,18.47,171.7,0.6399,-0.1471,0.3226,5.661,0.1236,0.2713,62.5
wheat,2.566,745.42,20.13,63.03,5.84,270.2,18.5,133.75,0.7019,0.1101,0.348,4.98,0.0931,0.0407,27.35
wheat,1.557,777.44,31.31,71.63,7.5,260.48,27.64,240.36,0.6556,-0.1555,0.3181,4.791,0.2678,0.2639,60.75
chickpea,4.609,771.46,29.78,58.58,8.2,99.34,30.59,142.4,0.7006,-0.1614,0.2551,3.11,0.1858,0.146,58.94
chickpea,7.775,411.57,29.35,64.02,7.41,268.25,22.28,286.08,0.7103,-0.1702,0.3289,3.279,0.1351,0.0116,24.16
wheat,9.578,491.17,31.02,69.29,7.39,198.24,20.62,217.14,0.5629,-0.2985,0.1173,5.017,0.1651,0.1966,46.38
maize,8.974,770.07,29.79,58.24,7.14,248.55,19.26,175.7,0.7909,-0.1679,0.1221,6.741,0.1037,0.246,30.67
soybean,4.055,542.41,19.67,76.02,6.27,127.15,29.23,155.45,0.608,0.0638,0.316,3.749,0.1399,0.085,36.85
chickpea,7.663,438.35,34.39,59.15,5.65,186.27,30.71,125.03,0.5543,-0.3222,0.2823,1.811,0.3353,0.4513,93.11
soybean,7.811,551.89,20.31,98.0,7.07,143.53,38.47,174.49,0.8066,0.0706,0.3512,3.581,0.1984,0.1316,21.94
maize,9.127,704.57,22.65,64.56,6.44,163.75,19.03,115.7,0.7628,-0.0314,0.312,6.283,0.0651,0.1222,29.18
rice,1.824,875.8,19.61,90.95,6.93,246.76,25.53,163.63,0.6969,0.1444,0.5128,5.771,0.208,0.1669,29.83
chickpea,1.835,421.69,31.87,59.71,6.72,225.91,32.44,110.34,0.7258,-0.1708,0.2707,2.774,0.1152,0.1361,29.1
maize,6.357,556.98,32.1,59.67,5.87,260.49,27.61,227.46,0.713,-0.2418,0.1335,5.13,0.0921,0.1889,55.3
soybean,7.113,428.22,26.83,57.55,7.45,177.4,22.33,139.04,0.8188,-0.1129,0.4256,3.891,0.0941,0.1564,33.08
maize,3.738,486.72,27.98,65.22,6.51,191.78,12.28,133.9,0.7301,-0.1903,0.2965,6.269,0.0788,0.1731,40.08
soybean,0.931,567.89,31.17,59.59,7.38,278.61,25.68,178.75,0.6425,-0.2004,0.1916,3.448,0.1569,0.1653,45.85
rice,6.697,671.69,31.19,75.0,7.62,235.13,14.02,288.18,0.7562,-0.1608,0.1391,5.188,0.2079,0.2192,56.45
soybean,1.967,554.78,32.29,73.31,6.72,200.98,20.83,197.92,0.6798,-0.2482,0.1495,3.054,0.2323,0.2667,49.75
soybean,3.113,615.72,24.42,79.2,7.02,200.05,49.12,50.0,0.6163,-0.1107,0.249,3.907,0.1164,0.1235,29.97
cotton,4.071,969.77,27.17,76.26,6.95,353.88,37.67,228.52,0.8626,-0.1506,0.2182,2.346,0.1223,0.184,23.01
rice,9.245,387.38,28.64,64.11,7.51,290.92,31.83,218.47,0.6505,-0.1809,0.198,5.903,0.1483,0.14,40.16
cotton,6.094,735.79,31.27,63.56,6.48,368.28,19.8,241.23,0.8777,-0.086,0.2912,2.384,0.2258,0.219,37.89
maize,9.574,753.02,28.61,64.63,6.3,335.58,30.79,154.68,0.6609,-0.2196,0.2504,6.633,0.1314,0.1003,36.74
cotton,3.689,245.18,16.51,94.96,6.34,230.54,31.79,96.13,0.6383,0.2061,0.4168,1.928,0.2695,0.1457,34.59
maize,2.819,766.34,21.13,89.81,6.91,289.39,26.35,104.3,0.6372,0.0886,0.4069,6.249,0.3677,0.1099,32.77
soybean,8.386,222.4,32.74,72.59,6.91,230.6,24.6,222.42,0.5917,-0.2898,0.0117,2.835,0.1612,0.1933,51.05
rice,6.494,647.52,23.46,74.12,6.22,81.32,31.28,200.89,0.7636,-0.1053,0.2789,5.757,0.1484,0.057,18.07
cotton,9.894,665.65,34.18,65.36,6.87,247.59,28.31,171.75,0.6817,-0.2479,0.1188,2.347,0.3191,0.1974,51.01
chickpea,4.226,804.64,25.57,55.92,5.84,348.66,34.17,225.37,0.7888,0.0116,0.3052,3.006,0.1104,0.0274,23.04
soybean,7.911,848.15,37.29,32.32,6.58,225.08,9.44,50.0,0.5288,-0.4733,0.0107,2.416,0.1006,0.1949,74.38
soybean,6.465,687.26,27.25,70.8,6.92,179.82,23.92,178.14,0.7498,0.0483,0.2507,3.959,0.1676,0.2661,35.38
cotton,7.302,584.06,28.91,40.5,6.56,142.44,29.16,107.65,0.7704,-0.3136,0.2118,3.128,0.0692,0.2136,32.02
wheat,5.758,376.3,24.61,55.0,7.32,307.0,21.69,166.94,0.6268,-0.0306,0.3019,4.802,0.1961,0.202,38.05
maize,4.604,638.61,29.7,61.22,7.86,300.37,23.2,208.28,0.6765,-0.2823,0.2146,5.253,0.089,0.1542,51.14
cotton,7.676,498.68,29.97,81.92,6.65,202.9,5.06,173.27,0.7017,-0.2443,0.3068,2.164,0.2513,0.2125,42.96
rice,7.601,605.08,27.67,56.87,5.96,311.65,30.89,260.07,0.6216,-0.0666,0.4036,5.713,0.1607,0.019,42.81
wheat,5.263,1057.81,27.1,54.85,6.58,70.0,32.96,179.67,0.5296,-0.2867,0.1431,4.762,0.1111,0.1008,37.36
rice,5.833,790.15,22.59,74.76,6.76,308.11,12.37,181.74,0.6248,-0.1528,0.2855,6.223,0.1187,0.061,23.77
wheat,7.428,697.92,28.19,84.99,5.73,254.1,10.83,194.41,0.6391,-0.1869,0.2616,5.258,0.1505,0.1495,43.76
cotton,7.677,464.64,24.16,68.02,7.05,275.67,31.74,161.0,0.6961,-0.0717,0.368,2.934,0.1559,0.2296,39.5
cotton,9.574,972.52,29.65,51.28,7.11,281.9,33.03,213.98,0.6979,-0.1261,0.226,2.472,0.1242,0.0554,30.41
wheat,4.529,1081.85,29.6,55.78,5.15,191.3,17.14,75.8,0.6704,-0.4148,0.2589,4.286,0.0548,0.1344,56.17
cotton,7.802,385.73,24.88,76.51,7.34,141.62,34.75,157.77,0.6419,-0.01,0.2472,2.191,0.4525,0.3896,60.16
rice,6.724,502.32,34.99,69.88,7.41,311.14,27.36,232.04,0.6547,-0.3574,0.2017,3.59,0.3562,0.2664,75.63
soybean,7.578,636.47,22.2,70.15,6.13,192.37,7.67,245.72,0.7858,-0.056,0.3339,3.968,0.0438,0.0467,23.89
maize,0.638,1124.13,28.32,44.23,7.05,190.08,18.25,177.55,0.7237,-0.0729,0.2935,5.417,0.0524,0.1225,30.68
rice,7.657,669.76,32.84,87.43,7.23,308.22,21.74,127.42,0.5854,-0.0044,0.3102,5.611,0.463,0.1838,71.4
rice,4.574,908.62,21.75,76.34,6.9,288.97,25.65,153.94,0.7653,0.2382,0.3904,5.796,0.1409,0.0627,22.39
soybean,8.117,686.71,20.19,73.5,6.45,269.98,38.18,182.11,0.8788,0.1298,0.4349,4.029,0.0377,0.0641,9.97
maize,8.849,635.95,30.94,57.88,5.97,243.74,28.86,205.98,0.7711,-0.3445,0.2341,5.936,0.0845,0.1359,37.02
maize,5.57,598.34,25.91,87.95,6.83,310.01,16.49,196.1,0.8736,0.179,0.2911,6.111,0.4102,0.2193,35.85
soybean,0.893,636.3,27.64,76.89,6.4,98.03,20.45,136.27,0.481,-0.0205,0.1488,3.862,0.2385,0.3139,53.89
chickpea,0.724,678.01,25.7,60.68,7.91,293.61,15.68,220.21,0.6562,-0.0676,0.3275,2.902,0.1745,0.0215,38.49
soybean,1.814,729.43,33.58,86.07,6.95,294.83,18.58,159.83,0.8063,-0.3147,0.1632,2.644,0.2967,0.2338,60.22
rice,8.417,627.0,28.43,68.8,6.27,331.8,39.56,195.08,0.6294,-0.3026,0.2796,5.879,0.0831,0.0343,25.79
wheat,8.854,1018.36,24.71,78.7,6.96,244.49,19.85,191.01,0.6287,-0.0489,0.3327,4.542,0.1727,0.1453,42.6
cotton,4.426,232.36,23.04,86.85,7.38,153.5,19.72,238.89,0.8795,0.1444,0.2949,2.153,0.182,0.1009,27.53
wheat,5.382,514.56,30.8,61.39,7.18,300.86,14.74,228.67,0.6984,-0.1888,0.1557,4.629,0.2478,0.2071,44.74
rice,7.131,256.03,29.44,62.86,6.05,218.16,17.25,228.77,0.6705,-0.2262,0.2891,4.778,0.1856,0.0679,47.2
rice,2.415,295.83,21.98,61.91,4.88,375.6,32.87,149.49,0.7762,0.0064,0.2806,5.622,0.0402,0.0,29.78
chickpea,5.561,688.09,28.06,73.94,7.77,243.74,29.9,152.02,0.5847,-0.1206,0.1907,2.811,0.4566,0.0939,65.53
cotton,7.632,413.5,28.8,44.56,7.19,344.15,18.06,240.62,0.6034,-0.1514,0.2614,2.325,0.0897,0.1199,35.17
soybean,1.926,986.08,32.52,67.57,7.71,281.89,8.93,185.84,0.5541,-0.1692,0.2046,3.098,0.2445,0.1707,65.96
wheat,3.388,704.33,34.25,59.9,6.56,274.93,30.69,159.71,0.7168,-0.4471,0.1667,3.791,0.1926,0.2638,50.72
maize,2.015,849.2,15.0,60.97,6.73,175.67,24.86,218.88,0.7905,0.3142,0.3469,6.207,0.0631,0.0277,14.33
chickpea,3.727,795.49,26.89,73.49,5.71,328.19,31.82,122.13,0.6614,-0.1754,0.1644,3.128,0.1202,0.1498,40.02
cotton,7.38,650.57,22.68,40.35,7.21,269.82,11.86,164.98,0.6617,0.0363,0.3331,2.165,0.0338,0.0,20.02
rice,8.236,753.02,20.73,66.22,7.01,93.8,32.83,221.47,0.7022,-0.063,0.3543,5.692,0.0847,0.0976,20.56
soybean,4.966,1048.12,21.16,77.18,6.72,324.07,28.4,141.01,0.7611,0.1535,0.2703,3.707,0.1456,0.205,16.49
rice,4.35,730.55,28.84,58.65,7.04,128.42,21.04,133.08,0.5529,-0.1756,0.213,5.9,0.0586,0.1476,39.29
rice,6.52,939.14,31.99,81.96,6.9,142.33,28.27,229.57,0.5797,-0.2588,0.166,5.344,0.4657,0.1997,53.11
rice,7.457,765.68,33.25,65.74,6.99,188.22,18.07,159.93,0.593,-0.281,0.1706,5.051,0.1457,0.1795,60.32
wheat,9.812,489.34,34.07,74.83,5.94,228.99,29.16,143.76,0.665,-0.1918,0.2008,2.967,0.3338,0.3904,74.13
soybean,6.212,1150.12,26.72,81.64,6.8,315.78,46.92,178.24,0.6741,-0.2347,0.2371,3.496,0.1438,0.0,13.66
maize,6.893,775.64,32.33,69.2,6.62,223.88,41.47,139.02,0.5931,-0.4178,0.0872,5.09,0.3002,0.2612,63.58
soybean,5.891,1025.64,21.88,42.47,7.56,223.25,34.43,195.25,0.7984,-0.0201,0.2947,3.505,0.0621,0.1354,31.45
cotton,8.693,533.0,25.75,79.96,7.61,203.19,31.52,250.76,0.6967,0.092,0.3204,2.763,0.1594,0.1074,38.84
cotton,7.237,712.71,21.47,64.24,7.94,143.54,17.8,213.03,0.5221,0.0394,0.2428,2.368,0.2365,0.3771,69.78
soybean,3.747,602.62,31.43,82.99,6.7,204.32,17.65,188.5,0.5929,-0.1937,0.1662,2.973,0.3689,0.126,56.07
maize,9.509,854.05,33.42,42.26,6.5,299.71,8.76,230.61,0.7844,-0.401,0.1818,5.688,0.0686,0.2477,40.25
wheat,6.639,744.09,25.09,62.36,5.63,126.62,28.41,227.4,0.6758,-0.127,0.2779,5.304,0.0581,0.0979,38.27
wheat,1.268,1031.79,33.86,65.34,6.67,132.46,24.41,211.96,0.6137,-0.235,0.2597,3.632,0.1496,0.1431,42.25
soybean,8.693,855.12,25.59,64.87,7.04,243.13,30.74,68.44,0.7353,0.0007,0.2014,4.18,0.1439,0.1302,30.82
rice,9.835,594.65,26.15,54.57,6.12,263.59,21.81,172.18,0.609,-0.0582,0.2637,5.878,0.1155,0.2158,34.27
rice,4.224,810.77,20.68,77.62,6.86,205.3,27.19,180.55,0.5217,-0.0284,0.3831,5.291,0.0893,0.1497,40.22
maize,6.606,604.62,34.98,93.65,6.72,201.46,19.44,157.01,0.5285,-0.2696,0.2353,5.046,0.4439,0.2837,73.94
chickpea,6.635,855.76,30.19,62.42,6.91,255.22,25.96,182.66,0.5633,-0.1857,0.1247,2.516,0.1656,0.1327,56.85
chickpea,2.531,799.04,35.1,51.85,6.39,190.08,8.19,129.37,0.5008,-0.3437,0.0458,1.638,0.1939,0.223,79.24
wheat,2.723,600.16,36.9,59.6,6.76,164.62,20.68,209.97,0.5402,-0.4056,0.2209,3.686,0.4812,0.3048,88.13
chickpea,1.51,737.79,28.08,57.49,5.63,321.7,30.84,136.4,0.7718,-0.161,0.3149,3.233,0.1143,0.202,43.02
maize,5.3,604.52,24.41,53.12,5.46,156.36,25.08,165.31,0.6923,-0.0905,0.3637,6.197,0.0569,0.1208,29.56
chickpea,4.917,662.6,26.51,59.64,6.79,254.88,10.83,178.25,0.7474,-0.2067,0.1225,2.677,0.1085,0.2069,33.81
maize,8.047,422.42,27.72,70.98,7.73,228.48,16.13,186.96,0.6959,-0.0878,0.2633,6.211,0.1415,0.1492,41.44
maize,4.505,781.55,36.19,45.23,7.47,261.82,32.0,187.17,0.545,-0.422,0.1212,3.365,0.1782,0.1746,67.01
soybean,1.038,150.0,18.63,71.49,7.69,165.74,33.35,258.01,0.8421,0.2135,0.4853,3.294,0.0954,0.0629,20.88
rice,9.554,521.11,21.33,54.57,7.86,328.64,21.42,208.74,0.8352,0.0227,0.2453,6.104,0.0537,0.0,27.26
rice,2.949,1096.67,39.43,69.22,7.27,111.75,40.21,208.91,0.5396,-0.5377,-0.0118,2.711,0.2401,0.1239,73.63
chickpea,8.722,795.47,16.57,59.35,5.92,236.56,22.54,152.75,0.6891,0.2006,0.3004,2.843,0.0663,0.129,38.71
maize,7.466,843.1,26.64,69.36,6.22,327.52,39.06,243.43,0.7253,-0.1359,0.3194,6.14,0.2151,0.1638,26.83
maize,5.1,895.83,32.8,53.17,7.77,403.83,30.36,170.68,0.4863,-0.3932,0.144,4.87,0.1555,0.1727,70.16
cotton,9.764,335.68,29.4,62.4,8.2,121.65,16.96,111.95,0.5274,-0.1392,0.1895,1.807,0.2128,0.1356,72.76
rice,4.89,1233.72,29.56,73.96,6.56,193.04,29.99,178.13,0.6111,-0.1326,0.2262,4.887,0.3245,0.1877,42.52
soybean,3.867,741.8,23.45,78.66,5.83,338.71,17.18,205.96,0.7617,0.0829,0.4736,3.585,0.1062,0.0933,28.38
soybean,9.079,779.66,19.94,73.31,7.53,191.84,24.45,271.04,0.706,0.0848,0.2643,4.021,0.0497,0.0871,28.45
soybean,8.26,735.3,27.54,85.02,8.2,384.51,40.8,266.26,0.7365,-0.0708,0.1773,3.932,0.2913,0.1872,39.07
soybean,5.925,518.98,28.62,66.79,7.54,206.38,26.16,236.02,0.5879,-0.1478,0.2472,3.888,0.1945,0.2163,59.04
cotton,9.824,667.43,24.79,39.89,6.8,224.89,29.2,164.81,0.6649,-0.0428,0.2348,2.631,0.0496,0.1715,25.86
cotton,3.188,725.85,21.42,78.82,5.95,198.01,31.19,196.13,0.8877,0.2068,0.3367,2.65,0.0615,0.0003,18.53
soybean,6.659,447.22,25.56,40.01,6.57,182.02,19.46,215.59,0.8787,-0.0454,0.322,3.874,0.0421,0.0925,19.15
cotton,2.817,735.42,30.43,82.07,7.74,179.5,23.15,221.36,0.7473,-0.0458,0.3157,2.439,0.3791,0.2298,61.93
wheat,3.651,623.51,30.18,87.26,6.99,328.41,26.23,205.7,0.5529,-0.1194,0.2928,4.662,0.3152,0.2034,58.59
rice,3.579,774.2,24.97,62.19,7.8,360.65,28.6,194.57,0.7646,-0.015,0.2531,5.699,0.032,0.1838,31.17
maize,7.973,381.94,32.49,53.58,4.8,214.27,19.25,277.12,0.7215,-0.1753,0.1373,5.117,0.1611,0.1939,56.59
wheat,3.292,714.7,22.74,58.67,5.97,176.6,24.11,159.67,0.7554,0.0606,0.2481,4.509,0.0509,0.0058,20.54
cotton,1.696,767.46,30.51,33.64,5.02,347.28,29.82,151.6,0.5357,-0.3433,0.2227,1.699,0.0928,0.2033,76.9
chickpea,1.284,886.91,22.49,67.61,6.0,268.4,15.04,139.39,0.5344,-0.0897,0.2856,2.841,0.142,0.1764,51.27
chickpea,2.305,917.68,22.29,75.03,6.44,229.52,17.42,280.8,0.873,0.057,0.4198,3.026,0.1559,0.2228,13.03
